Day,Hour,Condition,Temperature,Wind,Relative_hum,Pressure
Sunday 4 December 2022,10:06,Mostly Cloudy,2°,6,87%,1009 hPa
Sunday 4 December 2022,10:30,Mostly Cloudy,3°,4,81%,1010 hPa
Sunday 4 December 2022,11:00,Cloudy,3°,7,87%,1010 hPa
Sunday 4 December 2022,11:30,Light Rain,4°,9,81%,1010 hPa
Sunday 4 December 2022,12:00,Drizzle,4°,7,87%,1010 hPa
Sunday 4 December 2022,12:30,Light Rain,5°,7,87%,1010 hPa
Sunday 4 December 2022,13:00,Light Rain,5°,6,87%,1010 hPa
Sunday 4 December 2022,13:30,Light Rain,6°,4,87%,1010 hPa
Sunday 4 December 2022,14:00,Mostly Cloudy,6°,2,87%,1010 hPa
Sunday 4 December 2022,14:30,Light Rain,7°,2,87%,1010 hPa
Sunday 4 December 2022,15:00,Drizzle,7°,2,87%,1010 hPa
Sunday 4 December 2022,15:30,Drizzle,7°,Calm,87%,1010 hPa
Sunday 4 December 2022,16:00,Drizzle,7°,2,87%,1010 hPa
Sunday 4 December 2022,16:30,Drizzle,7°,2,93%,1010 hPa
Sunday 4 December 2022,17:00,Mostly Cloudy,7°,6,93%,1010 hPa
Sunday 4 December 2022,17:30,Mostly Cloudy,7°,4,93%,1011 hPa
Sunday 4 December 2022,18:00,Cloudy,7°,Calm,93%,1011 hPa
Sunday 4 December 2022,18:30,Cloudy,7°,2,93%,1011 hPa
Sunday 4 December 2022,19:00,Mostly Cloudy,7°,2,93%,1012 hPa
Sunday 4 December 2022,19:30,Partly Cloudy,6°,6,93%,1012 hPa
Sunday 4 December 2022,20:00,Mist,6°,6,93%,1012 hPa
Sunday 4 December 2022,20:30,Mist,5°,2,100%,1012 hPa
Sunday 4 December 2022,21:00,Mist,6°,4,93%,1013 hPa
Sunday 4 December 2022,21:04,Mist,5°,Calm,100%,1013 hPa
Sunday 4 December 2022,21:30,Mist,6°,2,93%,1013 hPa
Sunday 4 December 2022,22:00,Mist,6°,2,100%,1013 hPa
Sunday 4 December 2022,22:30,Mist,6°,4,100%,1014 hPa
Sunday 4 December 2022,23:00,Mist,7°,4,93%,1014 hPa
Sunday 4 December 2022,23:30,Mist,6°,4,100%,1014 hPa
Monday 5 December 2022,00:00,Mist,6°,4,93%,1014 hPa
Monday 5 December 2022,00:30,Mist,6°,4,100%,1014 hPa
Monday 5 December 2022,01:00,Mist,6°,2,93%,1014 hPa
Monday 5 December 2022,01:30,Mist,6°,2,93%,1014 hPa
Monday 5 December 2022,02:00,Mist,6°,4,100%,1014 hPa
Monday 5 December 2022,02:30,Mist,6°,2,100%,1014 hPa
Monday 5 December 2022,03:00,Fog Patches,6°,4,93%,1014 hPa
Monday 5 December 2022,03:30,Fog Patches,5°,4,93%,1014 hPa
Monday 5 December 2022,03:53,Fog Patches,3°,7,100%,1013 hPa
Monday 5 December 2022,04:00,Fog Patches,4°,7,93%,1013 hPa
Monday 5 December 2022,04:23,Fog Patches,4°,11,93%,1014 hPa
Monday 5 December 2022,04:30,Fog Patches,4°,11,93%,1013 hPa
Monday 5 December 2022,05:00,Mist,4°,13,100%,1014 hPa
Monday 5 December 2022,05:22,Mist,4°,7,100%,1014 hPa
Monday 5 December 2022,05:30,Mist,4°,7,100%,1014 hPa
Monday 5 December 2022,06:00,Light Rain,5°,7,93%,1013 hPa
Monday 5 December 2022,06:30,Light Rain,5°,9,93%,1014 hPa
Monday 5 December 2022,07:00,Drizzle,5°,9,93%,1014 hPa
Monday 5 December 2022,07:30,Light Rain,5°,9,100%,1014 hPa
Monday 5 December 2022,08:00,Drizzle,6°,13,93%,1014 hPa
Monday 5 December 2022,08:07,Drizzle,6°,13,93%,1014 hPa
Monday 5 December 2022,08:30,Drizzle,6°,11,93%,1014 hPa
Monday 5 December 2022,09:00,Drizzle,6°,9,93%,1014 hPa
Monday 5 December 2022,09:30,Drizzle,6°,9,100%,1014 hPa
Monday 5 December 2022,10:00,Drizzle,6°,9,100%,1014 hPa
Monday 5 December 2022,10:30,Cloudy,7°,7,93%,1015 hPa
Monday 5 December 2022,11:00,Cloudy,7°,6,93%,1015 hPa
Monday 5 December 2022,11:30,Mist,7°,6,100%,1014 hPa
Monday 5 December 2022,11:44,Drizzle,7°,6,100%,1014 hPa
Monday 5 December 2022,12:00,Light Rain,7°,4,100%,1014 hPa
Monday 5 December 2022,12:30,Light Rain,8°,9,93%,1014 hPa
Monday 5 December 2022,13:00,Drizzle,8°,9,93%,1014 hPa
Monday 5 December 2022,13:30,Drizzle,8°,9,100%,1013 hPa
Monday 5 December 2022,14:00,Light Rain,8°,9,100%,1013 hPa
Monday 5 December 2022,14:30,Light Rain,8°,9,100%,1013 hPa
Monday 5 December 2022,15:00,Light Rain,9°,9,93%,1013 hPa
Monday 5 December 2022,15:30,Drizzle,9°,9,93%,1012 hPa
Monday 5 December 2022,16:00,Drizzle,9°,4,100%,1013 hPa
Monday 5 December 2022,16:30,Drizzle,9°,4,100%,1012 hPa
Monday 5 December 2022,17:00,Drizzle,9°,4,100%,1013 hPa
Monday 5 December 2022,17:30,Mist,9°,4,100%,1013 hPa
Monday 5 December 2022,18:00,Drizzle,9°,4,100%,1013 hPa
Monday 5 December 2022,18:30,Light Rain,9°,6,100%,1013 hPa
Monday 5 December 2022,19:00,Rain,9°,4,100%,1014 hPa
Monday 5 December 2022,19:30,Drizzle,9°,6,100%,1013 hPa
Monday 5 December 2022,20:00,Light Rain,9°,6,100%,1014 hPa
Monday 5 December 2022,20:30,Drizzle,9°,7,100%,1014 hPa
Monday 5 December 2022,21:00,Light Rain,9°,4,100%,1014 hPa
Monday 5 December 2022,21:30,Rain,9°,4,100%,1014 hPa
Monday 5 December 2022,22:00,Rain,9°,4,100%,1014 hPa
Monday 5 December 2022,22:30,Rain,9°,2,100%,1014 hPa
Monday 5 December 2022,23:00,Light Rain,9°,6,100%,1014 hPa
Monday 5 December 2022,23:30,Mist,9°,6,100%,1014 hPa
Tuesday 6 December 2022,00:00,Mist,9°,6,100%,1014 hPa
Tuesday 6 December 2022,00:30,Mist,9°,9,100%,1014 hPa
Tuesday 6 December 2022,01:00,Mist,9°,6,100%,1014 hPa
