Day,Hour,Condition,Temperature,Wind,Relative_hum,Pressure
Saturday 8 April 2023,16:00,Clear,26°,13,16%,1016 hPa
Saturday 8 April 2023,16:30,Clear,26°,7,15%,1015 hPa
Saturday 8 April 2023,17:00,Clear,26°,11,>,33 16% 1015 hPa
Saturday 8 April 2023,17:30,Clear,27°,7,15%,1015 hPa
Saturday 8 April 2023,18:00,Clear,27°,7,15%,1015 hPa
Saturday 8 April 2023,18:30,Clear,27°,11,14%,1015 hPa
Saturday 8 April 2023,19:00,Clear,26°,11,>,30 16% 1015 hPa
Saturday 8 April 2023,19:30,Clear,25°,9,17%,1015 hPa
Saturday 8 April 2023,20:00,Clear,25°,11,17%,1015 hPa
Saturday 8 April 2023,20:30,Clear,24°,11,16%,1015 hPa
Saturday 8 April 2023,21:00,Clear,23°,11,17%,1016 hPa
Saturday 8 April 2023,21:30,Clear,22°,13,19%,1016 hPa
Saturday 8 April 2023,22:00,Clear,22°,11,19%,1016 hPa
Saturday 8 April 2023,22:30,Clear,21°,6,20%,1017 hPa
Saturday 8 April 2023,23:00,Clear,21°,6,20%,1017 hPa
Saturday 8 April 2023,23:30,Clear,18°,9,26%,1017 hPa
Sunday 9 April 2023,00:00,Clear,16°,4,29%,1017 hPa
Sunday 9 April 2023,00:30,Clear,15°,4,31%,1017 hPa
Sunday 9 April 2023,01:00,Clear,14°,6,38%,1018 hPa
Sunday 9 April 2023,01:30,Clear,13°,7,41%,1018 hPa
Sunday 9 April 2023,02:00,Clear,12°,9,44%,1018 hPa
Sunday 9 April 2023,02:30,Clear,12°,7,44%,1018 hPa
Sunday 9 April 2023,03:00,Clear,12°,9,44%,1018 hPa
Sunday 9 April 2023,03:30,Clear,12°,9,44%,1018 hPa
