Day,Hour,Condition,Temperature,Wind,Relative_hum,Pressure
Wednesday 4 October 2023,15:00,Clear,26°,Calm,51%,1026 hPa
Wednesday 4 October 2023,15:30,Clear,27°,4,45%,1026 hPa
Wednesday 4 October 2023,16:00,Clear,27°,2,48%,1026 hPa
Wednesday 4 October 2023,16:30,Clear,28°,2,42%,1025 hPa
Wednesday 4 October 2023,17:00,Clear,28°,2,42%,1025 hPa
Wednesday 4 October 2023,17:30,Clear,28°,6,48%,1025 hPa
Wednesday 4 October 2023,18:00,Clear,29°,6,40%,1025 hPa
Wednesday 4 October 2023,18:30,Clear,29°,6,40%,1025 hPa
Wednesday 4 October 2023,19:00,Clear,28°,7,40%,1025 hPa
Wednesday 4 October 2023,19:30,Clear,28°,7,40%,1025 hPa
Wednesday 4 October 2023,20:00,Clear,26°,4,45%,1025 hPa
Wednesday 4 October 2023,20:30,Clear,24°,Calm,54%,1025 hPa
Wednesday 4 October 2023,21:00,Clear,23°,4,57%,1025 hPa
Wednesday 4 October 2023,21:30,Clear,23°,6,57%,1025 hPa
Wednesday 4 October 2023,22:00,Clear,22°,4,60%,1025 hPa
Wednesday 4 October 2023,22:30,Clear,21°,7,64%,1025 hPa
Wednesday 4 October 2023,23:00,Clear,20°,6,68%,1026 hPa
Wednesday 4 October 2023,23:30,Clear,20°,4,68%,1026 hPa
Thursday 5 October 2023,00:00,Clear,19°,6,73%,1026 hPa
Thursday 5 October 2023,00:30,Clear,19°,4,73%,1026 hPa
Thursday 5 October 2023,01:00,Clear,18°,6,77%,1026 hPa
Thursday 5 October 2023,01:30,Clear,18°,6,77%,1026 hPa
Thursday 5 October 2023,02:00,Clear,17°,6,82%,1026 hPa
Thursday 5 October 2023,02:30,Clear,18°,4,77%,1026 hPa
Thursday 5 October 2023,03:00,Clear,17°,6,77%,1026 hPa
Thursday 5 October 2023,03:30,Clear,17°,4,77%,1026 hPa
Thursday 5 October 2023,04:00,Clear,16°,6,82%,1025 hPa
Thursday 5 October 2023,04:30,Clear,16°,6,82%,1025 hPa
Thursday 5 October 2023,05:00,Clear,16°,6,82%,1025 hPa
Thursday 5 October 2023,05:30,Clear,15°,4,82%,1025 hPa
Thursday 5 October 2023,06:00,Clear,15°,7,88%,1025 hPa
Thursday 5 October 2023,06:30,Clear,14°,Calm,88%,1025 hPa
Thursday 5 October 2023,07:00,Clear,14°,6,88%,1026 hPa
Thursday 5 October 2023,07:30,Clear,14°,6,88%,1026 hPa
Thursday 5 October 2023,08:00,Clear,14°,4,82%,1026 hPa
Thursday 5 October 2023,08:30,Clear,14°,4,82%,1026 hPa
Thursday 5 October 2023,09:00,Clear,14°,4,88%,1026 hPa
Thursday 5 October 2023,09:30,Clear,15°,4,82%,1027 hPa
